"filename", "language", "Markdown", "C#", "MSBuild", "JSON", "HTTP", "XML", "EditorConfig", "comment", "blank", "total"
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\UserUserGroupAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Startup.cs", "C#", 0, 159, 0, 0, 0, 0, 0, 10, 25, 194
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\WeatherForecast.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\Pang.RBAC.Api.deps.json", "JSON", 0, 0, 0, 4521, 0, 0, 0, 0, 0, 4521
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\Pang.RBAC.Api.runtimeconfig.dev.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\Pang.RBAC.Api.runtimeconfig.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\publish\Pang.RBAC.Api.deps.json", "JSON", 0, 0, 0, 4521, 0, 0, 0, 0, 0, 4521
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\publish\Pang.RBAC.Api.runtimeconfig.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\publish\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Debug\net5.0\publish\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\Pang.RBAC.Api.deps.json", "JSON", 0, 0, 0, 4521, 0, 0, 0, 0, 0, 4521
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\Pang.RBAC.Api.runtimeconfig.dev.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\Pang.RBAC.Api.runtimeconfig.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
